# Frame, LeftUpperArm, RightUpperArm, LeftForearm, RightForearm, LeftThigh, RightThigh, LeftCalf, RightCalf
0,90,  -90,  -20,  20, 120,  60,  10, -10
1,85,  -85,  -15,  15, 114,  57,  8,  -8
2,70,  -70,  -18,  22, 126,  54,  14,  -6
3,50,  -50,  -17,  23, 128,  52,  16,  -4
4,45 -45 -15,  25, 130,  50,  18,  -2
5,37,  -37,  -17,  23, 128,  52,  16,  -4
6,25,  -25,  -18,  22, 126,  54,  14,  -6
7,10,  -10,  -19,  21, 123,  57,  12,  -8
8,0,  0,  -20,  20, 120,  60,  10, -10
9,0,  -20,  -21,  19, 117,  63,   8, -12
10,0,  -10,  -22,  18, 114,  66,   6, -14
11,0,  -25,  -23,  17, 112,  68,   4, -16
12,0,  -37,  -25,  15, 110,  70,   2, -18
13,0,  -45,  -23,  17, 112,  68,   4, -16
14,0,  -45,  -22,  18, 114,  66,   6, -14
15,0,  -45,  -21,  19, 117,  63,   8, -12
